Appid,name,header_image,,developer,,,,categories,genres,steamspy_tags,,positive_ratings,negative_ratings,,median_playtime,,price
275850,No Man's Sky,https://steamcdn-a.akamaihd.net/steam/apps/275850/header.jpg?t=1542978561,,Hello Games,,,,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Open World;Space;Exploration,,63444,56488,,1222,,39.99
232090,Killing Floor 2,https://steamcdn-a.akamaihd.net/steam/apps/232090/header.jpg?t=1553570050,,Tripwire Interactive,,,,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Includes level editor,Action,Zombies;Co-op;Gore,,60917,8354,,957,,19.99
251570,7 Days to Die,https://steamcdn-a.akamaihd.net/steam/apps/251570/header.jpg?t=1502044027,,The Fun Pimps,,,,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor,Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,Early Access;Survival;Zombies,,60718,16905,,574,,18.99
244850,Space Engineers,https://steamcdn-a.akamaihd.net/steam/apps/244850/header.jpg?t=1555574351,,Keen Software House,,,,Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Action;Indie;Simulation;Strategy,Space;Sandbox;Building,,60221,9609,,1147,,15.49
206420,Saints Row IV,https://steamcdn-a.akamaihd.net/steam/apps/206420/header.jpg?t=1533713017,,Deep Silver Volition,,,,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,Action;Adventure,Open World;Action;Comedy,,54091,4945,,1094,,10.99
221380,Age of Empires II HD,https://steamcdn-a.akamaihd.net/steam/apps/221380/header.jpg?t=1548823294,,Skybox Labs;Hidden Path Entertainment;Ensemble Studios;Forgotten Empires,,,,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Strategy,Strategy;RTS;Multiplayer,,54090,3178,,619,,14.99
1250,Killing Floor,https://steamcdn-a.akamaihd.net/steam/apps/1250/header.jpg?t=1551468074,,Tripwire Interactive,,,,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op,,53710,2649,,306,,14.99
322170,Geometry Dash,https://steamcdn-a.akamaihd.net/steam/apps/322170/header.jpg?t=1487611537,,RobTop Games,,,,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Includes level editor,Action;Indie,Difficult;Great Soundtrack;Music,,52737,2990,,1471,,2.79
400,Portal,https://steamcdn-a.akamaihd.net/steam/apps/400/header.jpg?t=1512752294,,Valve,,,,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer,,51801,1080,,137,,7.19
219640,Chivalry: Medieval Warfare,https://steamcdn-a.akamaihd.net/steam/apps/219640/header.jpg?t=1527266022,,Torn Banner Studios,,,,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Includes level editor,Action;Indie,Medieval;Multiplayer;Action,,51499,10939,,293,,18.99
